LICENCE_NUMBER,CURRENT_AREA_HA,AGRMT_TYPE,DATUM,REGION_E,REGION_F,COMPANY_NAME,LICENCE_ISSUE_DATE,LICENCE_EXPIRY_DATE,AGRMT_TYPE_E,AGRMT_TYPE_F,SHAPE.AREA,SHAPE.LEN,LONGITUDE,LATITUDE,COORD_SYS
SDL095,11051,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19900504,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.04166666700002,69.81666666699999,GCS_North_American_1983_CSRS
SDL096,353,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19900719,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-133.95,70.066666666,GCS_North_American_1983_CSRS
SDL097,1059,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19900719,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134,70.066666666,GCS_North_American_1983_CSRS
SDL110,891,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19920130,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134.25,69.88333333399999,GCS_North_American_1983_CSRS
SDL111,891,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19920130,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134.25,69.89999999999998,GCS_North_American_1983_CSRS
SDL112,1485,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19920130,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134.20833333399997,69.89999999999998,GCS_North_American_1983_CSRS
SDL134-CAN,247,SDL,NAD27,Beaufort Sea,mer de Beaufort,MGM Energy,20071113,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.65625,69.320833333,GCS_North_American_1983_CSRS
SDL135,610,SDL,NAD27,Beaufort Sea,mer de Beaufort,MGM Energy,20071113,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.58333333399997,69.33333333299998,GCS_North_American_1983_CSRS
SDL136-CAN,136,SDL,NAD27,Beaufort Sea,mer de Beaufort,MGM Energy,20080117,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.96875,69.116666667,GCS_North_American_1983_CSRS
SDL146-CAN,507,SDL,NAD27,Beaufort Sea,mer de Beaufort,MGM Energy,20090423,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.79166666700002,69.05000000000001,GCS_North_American_1983_CSRS
SDL113,4787,SDL,NAD27,Beaufort Sea,mer de Beaufort,BP Canada Energy Group ULC,19930325,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-137.5,69.69999999999999,GCS_North_American_1983_CSRS
SDL114,4795,SDL,NAD27,Beaufort Sea,mer de Beaufort,BP Canada Energy Group ULC,19930325,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-137.375,69.66666666600003,GCS_North_American_1983_CSRS
SDL115,3000,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19940711,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-136.375,69.68333333300001,GCS_North_American_1983_CSRS
SDL116,2700,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19980610,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.29166666600003,69.66666666600003,GCS_North_American_1983_CSRS
SDL117,900,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19980610,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.25,69.64999999999998,GCS_North_American_1983_CSRS
SDL126,16618,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,20050801,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-133.55,70.08333333299998,GCS_North_American_1983_CSRS
SDL130,14458,SDL,NAD27,Beaufort Sea,mer de Beaufort,Devon Canada Corporation,20070426,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-136.33333333299998,69.51666666699998,GCS_North_American_1983_CSRS
SDL132-CAN,38,SDL,NAD27,Beaufort Sea,mer de Beaufort,MGM Energy,20071113,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-136,69.21249999999998,GCS_North_American_1983_CSRS
SDL133-CAN,19,SDL,NAD27,Beaufort Sea,mer de Beaufort,MGM Energy,20071113,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.98958333299998,69.21249999999998,GCS_North_American_1983_CSRS
