AREA_SQ_MI,AREA_ACRE,PERIMETER,Trigger_,Shape__Area,Shape__Length,OBJECTID,NAME,FIELD_CODE,StartDate,EndDate,NoticeDate,District_pre2018,District,District_Label
2.09,1262,9.02,,7445327.07897806,17132.4125611235,655,Potrero (ABD),568,1111/01/01 00:00:00+00,,,1,Southern,Southern District
2.88,1800,7.04,,10625614.4533608,13696.8363661777,656,Playa Del Rey,554,1111/01/01 00:00:00+00,,,1,Southern,Southern District
1.53,973.9,5.54,,5525870.79565472,10516.453803361,657,Venice Beach (ABD),812,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.44,283,2.71,,1445593.75776626,4879.44199299167,658,Union Station (ABD),804,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.52,316,3.07,,1866409.96841654,5793.53548405657,659,Boyle Heights (ABD),068,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.47,298.5,2.89,,1668178.70927702,5515.12783565632,660,Hyperion,322,1111/01/01 00:00:00+00,,,1,Southern,Southern District
2.94,1820,9.11,,10736209.6807727,17521.80104865,661,El Segundo,232,1111/01/01 00:00:00+00,,,1,Southern,Southern District
1.25,734.6,5.55,,4342407.99018341,10246.7011932915,662,Lawndale (ABD),394,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.37,236.7,2.5,,1423267.181897,4860.05822601654,663,Alondra (ABD),012,1111/01/01 00:00:00+00,,,1,Southern,Southern District
1.99,1192,7,,7028947.24684438,13616.5094747848,664,Howard Townsite,316,1111/01/01 00:00:00+00,,,1,Southern,Southern District
2.01,1236,7.19,,7309434.53217799,13723.9753125746,665,Rosecrans,618,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.54,359.4,3.31,,2129493.16581455,6385.31016719608,666,"Rosecrans, South",622,1111/01/01 00:00:00+00,,,1,Southern,Southern District
5.72,3546,13.5,,20925088.7198867,25498.4525399847,667,Dominguez,208,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.22,10.2,2.18,,726558.89264766,3928.83700066594,669,Gaffey (ABD),258,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.16,103.7,1.72,,524906.39305849,3103.73492505802,670,"Rosecrans, East",620,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0,0,0,,45824106.1442237,45092.0208370295,671,Desert Hot Springs,G2-,1111/01/01 00:00:00+00,,,G2,Southern,Southern District
0.16,100.9,1.64,,606507.68126959,3216.93856352156,673,Cristianitos Creek (ABD),182,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.98,639.2,3.97,,3818989.65914804,7818.02254937044,674,Holser,304,1111/01/01 00:00:00+00,,,2,Northern,Northern District
2.67,1756,8.49,,10119761.8931979,16643.1043546621,675,Ramona,586,1111/01/01 00:00:00+00,,,2,Northern,Northern District
5.03,3244,9.81,,19303407.9049187,19312.8130274296,676,Placerita,550,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.99,632,5.47,,3808464.82769827,10700.3863616814,677,Tapia,742,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.06,40.21,1.01,,230755.88712156,1922.17839906296,678,Charlie Canyon (ABD),132,1111/01/01 00:00:00+00,,,2,Northern,Northern District
3.58,2300,9.35,,13724819.331942,18156.9334475385,679,Honor Rancho,308,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.99,655.6,3.98,,3930660.74405049,7933.2200983221,680,Saugus (ABD),680,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.99,653.5,3.98,,3587247.27862626,7579.04472497807,681,Bouquet Canyon (ABD),064,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.76,486.7,3.85,,2934754.72346012,7614.79608925654,682,Wayside Canyon,824,1111/01/01 00:00:00+00,,,2,Northern,Northern District
2.41,1543,6.92,,9165241.16178071,13398.046257801,683,Oak Canyon,508,1111/01/01 00:00:00+00,,,2,Northern,Northern District
2.02,1314,7.36,,7979841.91370974,13732.987022217,684,Castaic Hills,124,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.28,149.9,2.13,,949334.100832255,3898.05242650415,685,"Ramona, North",588,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.74,483.1,5.46,,2874466.91684136,10790.5838190771,686,Hasley Canyon,298,1111/01/01 00:00:00+00,,,2,Northern,Northern District
5.83,3612,11.26,,21820294.5140638,22164.2906840707,687,Del Valle,198,1111/01/01 00:00:00+00,,,2,Northern,Northern District
4.85,3566,9.43,,20911434.7857687,19240.1490181525,689,Castaic Junction (ABD),126,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.62,408,3.16,,2479620.76201076,6312.75269148908,691,Lyon Canyon (ABD),438,1111/01/01 00:00:00+00,,,2,Northern,Northern District
1.02,678.1,4.04,,4021609.4341602,8031.29307339869,692,Cascade,120,1111/01/01 00:00:00+00,,,2,Northern,Northern District
1.24,807.5,5.53,,4311654.82826232,10709.149225717,693,Oat Mountain,519,1111/01/01 00:00:00+00,,,2,Northern,Northern District
5.31,3342,10.2,,20284275.1146766,21660.4542069879,694,Aliso Canyon,010,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.76,503.6,3.99,,2990483.98711298,7705.34772926427,695,Horse Meadows (ABD),312,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.78,495.6,4.05,,2936804.0275201,7709.81642132919,696,Mission (ABD),468,1111/01/01 00:00:00+00,,,2,Northern,Northern District
6.59,4215,10.65,,26718963.6479916,21476.387108539,697,Summerland Offshore (ABD),726,1111/01/01 00:00:00+00,,,2,Northern,Northern District
3.1,1983,7.87,,12348818.3068907,15390.5677527445,698,Carpinteria Offshore (ABD),118,1111/01/01 00:00:00+00,,,2,Northern,Northern District
2.78,2002,6.9,,11822436.9498514,14155.2628773453,699,Pacoima (ABD),531,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.26,169.5,2.06,,1028113.1495172,4056.32817132309,700,Canton Creek (ABD),110,1111/01/01 00:00:00+00,,,2,Northern,Northern District
7.88,5168,15.8,,46867589.0966509,37105.6504360796,701,Rincon,600,1111/01/01 00:00:00+00,,,2,Northern,Northern District
0.36,232.7,2.5,,1383606.9645926,4872.2386956464,702,Las Llajas,384,1111/01/01 00:00:00+00,,,2,Northern,Northern District
1.3,836.3,4.69,,5427215.64267055,9643.29394173405,704,Alegria Offshore (ABD),008,1111/01/01 00:00:00+00,,,3,Northern,Northern District
4.03,2595,8.23,,16210986.0345485,16409.8506379248,705,Caliente Offshore Gas (ABD),098,1111/01/01 00:00:00+00,,,3,Northern,Northern District
8.35,5398,12.55,,34430346.848697,24865.1786289224,706,Conception Offshore (ABD),166,1111/01/01 00:00:00+00,,,3,Northern,Northern District
4.37,2797,8.41,,17944012.4336071,17095.7702607621,707,Cuarta Offshore (ABD),184,1111/01/01 00:00:00+00,,,3,Northern,Northern District
3.14,2011,7.3,,11189496.414213,13849.907133678,708,Gaviota Offshore Gas (ABD),262,1111/01/01 00:00:00+00,,,3,Northern,Northern District
7.97,5079,13.19,,33496931.1725905,26656.1446450758,709,Molino Offshore Gas (ABD),472,1111/01/01 00:00:00+00,,,3,Northern,Northern District
1.61,1028,5.62,,5943000.67393642,10826.2380733565,710,Naples Offshore Gas (ABD),494,1111/01/01 00:00:00+00,,,3,Northern,Northern District
2.88,1974,6.81,,11772751.0063278,13800.0773681232,711,Point Conception (ABD),562,1111/01/01 00:00:00+00,,,3,Northern,Northern District
16.71,10780,21.72,,64760467.0096425,42248.2347788425,712,"Elwood, South, Offshore",236,1111/01/01 00:00:00+00,,,3,Northern,Northern District
5.39,1072.27,18,,6709170.14777062,10788.901345003,713,Ant Hill,018,1111/01/01 00:00:00+00,,,4,Inland,Inland District
11.05,2798.19,20,,17290886.3369741,21904.6919954033,714,Antelope Hills,020,1111/01/01 00:00:00+00,,,4,Inland,Inland District
13.38,2589.83,32,,18114405.6267215,29001.7827363863,715,Asphalto,032,2005/02/23 00:00:00+00,,,4,Inland,Inland District
3.98,632.46,40,,3960142.30170534,7960.08080094878,716,Beer Nose,040,1111/01/01 00:00:00+00,,,4,Inland,Inland District
25.76,9539.92,42,,60068670.613649,51699.6275086378,717,Belgian Anticline,042,2005/02/23 00:00:00+00,,,4,Inland,Inland District
10.49,2336.1,44,,14183930.5468125,20792.0851886353,718,Bellevue,044,2005/02/23 00:00:00+00,,,4,Inland,Inland District
9.32,2313.5,60,,14182995.8442368,18446.1765990881,719,Blackwells Corner,060,1111/01/01 00:00:00+00,,,4,Inland,Inland District
22.65,10322.91,66,,63224296.9164302,44555.9063565293,720,Bowerbank,066,1111/01/01 00:00:00+00,,,4,Inland,Inland District
40.08,29939.67,80,,182137898.609178,78955.0786220328,721,Buena Vista,080,2005/02/23 00:00:00+00,,,4,Inland,Inland District
15.98,6353.66,92,,39043868.2577145,31695.3023745516,722,Buttonwillow Gas (ABD),092,1111/01/01 00:00:00+00,,,4,Inland,Inland District
11.06,3566.08,95,,21478590.0732632,21786.7400348125,723,Cal Canal Gas,095,1983/01/20 00:00:00+00,,1993/01/20 00:00:00+00,4,Inland,Inland District
5.04,969.83,96,,5919137.3927756,9930.29601148299,724,Calders Corner,096,1111/01/01 00:00:00+00,,,4,Inland,Inland District
11.88,2475.55,104,,15106528.6466877,23675.0685862724,725,Canal,104,1111/01/01 00:00:00+00,,,4,Inland,Inland District
18.89,8428.31,106,,52000760.4157758,37713.7739718443,726,Canfield Ranch,106,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4,641.32,115,,3940495.45276188,7944.62088400526,727,Capitola Park (ABD),115,1111/01/01 00:00:00+00,,,4,Inland,Inland District
5.96,948.24,690,,5913174.95723027,11910.5361843448,728,Carneros Creek,117,1111/01/01 00:00:00+00,,,4,Inland,Inland District
6.5,1525.29,140,,9988442.19036349,13298.759179677,729,Chico-Martinez,140,1111/01/01 00:00:00+00,,,4,Inland,Inland District
5.57,1234.83,160,,7292436.84595499,10853.4419492553,731,Comanche Point,160,1111/01/01 00:00:00+00,,,4,Inland,Inland District
34.33,13893.54,190,,83936722.172007,67427.4676481906,732,Cymric,190,2005/02/23 00:00:00+00,,,4,Inland,Inland District
12.99,4156.02,194,,25741797.5233062,25969.4060064656,733,Deer Creek,194,1111/01/01 00:00:00+00,,,4,Inland,Inland District
20.44,8177.02,204,,50328690.204515,40723.5562998817,734,Devils Den,204,1111/01/01 00:00:00+00,,,4,Inland,Inland District
2.98,312.42,221,,1901766.92780597,5861.1316957303,736,Eagle Rest (ABD),221,1981/07/13 00:00:00+00,,1981/07/13 00:00:00+00,4,Inland,Inland District
36.58,21805.59,222,,132460649.37738,72369.8590253492,737,Edison,222,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.54,696.89,238,,4158437.462843,8900.96552351739,739,English Colony (ABD),238,1111/01/01 00:00:00+00,,,4,Inland,Inland District
23.71,11770.24,256,,71677719.3851972,47142.2282598067,740,Fruitvale,256,1111/01/01 00:00:00+00,,,4,Inland,Inland District
9.83,2937.04,260,,18470827.6766691,19690.4000465529,741,Garrison City Gas (ABD),260,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.26,404,272,,2114602.39394791,6131.65876461379,742,Gonyer Anticline (ABD),272,1111/01/01 00:00:00+00,,,4,Inland,Inland District
8.12,1955.54,274,,11810178.2107374,15869.5106127323,743,Goosloo,274,1111/01/01 00:00:00+00,,,4,Inland,Inland District
17.55,6009.61,280,,36770387.4188365,34672.7165900722,744,Greeley,280,1111/01/01 00:00:00+00,,,4,Inland,Inland District
17.88,6581.67,328,,40714355.6821554,35576.9446576837,745,Jasmin,328,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.07,343.06,332,,1945362.53887724,5910.62781009729,746,Jerry Slough,332,1111/01/01 00:00:00+00,,,4,Inland,Inland District
24.47,16567.76,340,,101078745.585078,48458.345131565,747,Kern River,340,1111/01/01 00:00:00+00,,,4,Inland,Inland District
11.4,2651.04,336,,16288166.327291,22827.1538244815,748,Kern Bluff,336,1111/01/01 00:00:00+00,,,4,Inland,Inland District
23.89,12172.55,338,,74223600.0018536,47565.9662609645,749,Kern Front,338,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.99,793.28,372,,4895225.24310942,9889.02436008302,750,Lakeside (ABD),372,1111/01/01 00:00:00+00,,,4,Inland,Inland District
5.97,882.67,374,,8310578.73383741,17787.3287829462,751,Landslide,375,2005/02/23 00:00:00+00,,1985/12/04 00:00:00+00,4,Inland,Inland District
10.06,3881.07,428,,23542177.8561779,19818.7642175545,752,Los Lobos,428,1111/01/01 00:00:00+00,,,4,Inland,Inland District
10.67,2357.29,446,,14511111.584997,20911.8987833512,754,McDonald Anticline,450,1111/01/01 00:00:00+00,,,4,Inland,Inland District
17.96,6772.23,454,,41287537.2395714,35234.4450815808,755,McKittrick,454,1111/01/01 00:00:00+00,,,4,Inland,Inland District
42.27,18792.99,490,,111004158.928529,80478.8523089325,758,Mountain View,490,2005/02/23 00:00:00+00,,,4,Inland,Inland District
10.03,2485.05,22,,15126216.7936313,19871.6762127819,759,"Antelope Hills, North",022,1111/01/01 00:00:00+00,,,4,Inland,Inland District
17.06,6103.76,50,,35535489.3221682,32840.9732261628,760,"Belridge, North",050,2005/02/23 00:00:00+00,,,4,Inland,Inland District
18.02,9638.78,156,,58879678.4379053,35547.4982265243,761,"Coles Levee, North",156,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.05,327.97,196,,2018448.82366973,6069.53106301885,762,"Deer Creek, North",196,1111/01/01 00:00:00+00,,,4,Inland,Inland District
13.67,5969.48,758,,35780714.9257688,26784.4728667672,764,"Tejon, North",758,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.5,406.62,224,,2493149.57597961,6994.80267021579,765,"Edison, Northeast",224,1111/01/01 00:00:00+00,,,4,Inland,Inland District
18.67,5533.02,434,,33905479.9276531,36819.6647937812,766,"Lost Hills, Northwest",434,1111/01/01 00:00:00+00,,,4,Inland,Inland District
28.05,18985.62,532,,115306529.953757,55084.5908052257,767,Paloma,532,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.07,662.85,544,,3885964.23678719,7885.25536041582,768,Pioneer,544,1111/01/01 00:00:00+00,,,4,Inland,Inland District
9.05,1953.29,560,,11652849.0850015,17734.8339111889,769,Pleito,560,1111/01/01 00:00:00+00,,,4,Inland,Inland District
29.15,19829.83,566,,121328343.026847,57665.0144341655,770,Poso Creek,566,1111/01/01 00:00:00+00,,,4,Inland,Inland District
10.73,3874.88,602,,23989351.4774475,21395.7666616391,772,Rio Bravo,602,1111/01/01 00:00:00+00,,,4,Inland,Inland District
8.93,2524.61,608,,16003800.2966836,17776.0645721453,773,Rio Viejo,608,1111/01/01 00:00:00+00,,,4,Inland,Inland District
10.57,2331.78,624,,14167369.47779,20770.7087171367,774,Rosedale,624,1111/01/01 00:00:00+00,,,4,Inland,Inland District
12,3207.63,626,,19632316.867505,23790.6453707177,775,Rosedale Ranch,626,1111/01/01 00:00:00+00,,,4,Inland,Inland District
32.08,16051.58,690,,98579378.1044295,63557.7468286794,778,Semitropic,690,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.42,308.08,696,,1957701.21690574,6936.43130705565,779,Seventh Standard,696,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.1,671.35,698,,3927631.61743191,7927.41568717059,780,"Shafter, SE Gas (ABD)",698,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.02,645.4,700,,3968961.57562888,7958.32688786551,781,Shale Flats Gas (ABD),700,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.74,362.05,702,,2377319.81548834,7775.35255893718,782,Shale Point Gas (ABD),702,1111/01/01 00:00:00+00,,,4,Inland,Inland District
17.99,11345.23,158,,68888627.7708043,35485.447329645,784,"Coles Levee, South",158,1111/01/01 00:00:00+00,,,4,Inland,Inland District
1.99,157.89,374,,975420.8411928,3950.6203648,785,"Lakeside, South (ABD)",374,1111/01/01 00:00:00+00,,,4,Inland,Inland District
8.54,1520.94,716,,9544323.64588344,16807.4779334846,786,Stockdale,716,1111/01/01 00:00:00+00,,,4,Inland,Inland District
15.97,5010.45,720,,30887157.8891305,31770.4965568477,787,Strand,720,1111/01/01 00:00:00+00,,,4,Inland,Inland District
19.31,7286.21,752,,43682090.8526172,37347.480283192,788,Tejon,752,1111/01/01 00:00:00+00,,,4,Inland,Inland District
18.09,4258.14,756,,25919926.9472644,35598.5767933289,789,Tejon Hills,756,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.03,649.32,760,,3919873.92223425,7919.54687642507,790,Temblor Hills,760,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.05,337.4,762,,1944490.8126775,5900.07311738746,791,Temblor Ranch,762,1111/01/01 00:00:00+00,,,4,Inland,Inland District
12.96,4641.86,766,,28806828.2452512,25739.4662465845,792,Ten Section,766,1111/01/01 00:00:00+00,,,4,Inland,Inland District
2.99,316.26,768,,2036764.07221691,6023.97072682809,793,Terra Bella (ABD),768,1111/01/01 00:00:00+00,,,4,Inland,Inland District
32.82,17198.74,790,,105455403.601983,65243.5092335649,794,Trico Gas,790,1111/01/01 00:00:00+00,,,4,Inland,Inland District
4.05,657.56,798,,3995339.54361748,7996.00115289368,795,Union Avenue,798,1111/01/01 00:00:00+00,,,4,Inland,Inland District
1.93,149.23,808,,987129.02165964,3974.32233380201,796,Valpredo,808,1111/01/01 00:00:00+00,,,4,Inland,Inland District
8.01,2569.06,822,,15793486.8471656,15900.5674223688,797,Wasco,822,1111/01/01 00:00:00+00,,,4,Inland,Inland District
3.97,470.88,826,,3000623.17695403,7999.81612172351,798,Welcome Valley,826,1111/01/01 00:00:00+00,,,4,Inland,Inland District
6.52,1233.38,46,,7614229.46799883,12882.492363575,799,"Bellevue, West",046,1111/01/01 00:00:00+00,,,4,Inland,Inland District
2.95,302.78,330,,1973851.2026731,5959.56415129039,800,"Jasmin, West (ABD)",330,1111/01/01 00:00:00+00,,,4,Inland,Inland District
19.38,5193.94,832,,31458616.9764575,38062.1284364903,801,Wheeler Ridge,832,1111/01/01 00:00:00+00,,,4,Inland,Inland District
5.63,860.81,834,,5115330.45982181,10840.0480234974,802,White Wolf,834,1111/01/01 00:00:00+00,,,4,Inland,Inland District
17.04,6428.94,858,,39070463.6032019,33571.1396677471,803,Yowlumne,858,1111/01/01 00:00:00+00,,,4,Inland,Inland District
11.03,3547,0,,21629899.5433717,21824.0398512702,804,Rose,617,1111/01/01 00:00:00+00,,,4,Inland,Inland District
82,65516.01,464,,396084903.606262,161564.634444876,805,Midway-Sunset,464,2005/02/23 00:00:00+00,,,4,Inland,Inland District
8.73,5587.02,13.19,,36348797.3553891,26919.6717503489,806,Union Island Gas,802,1111/01/01 00:00:00+00,,,6,Northern,Northern District
12.6,8063.79,16.8,,52839086.9714289,34606.9931246894,807,McMullin Ranch Gas,456,1111/01/01 00:00:00+00,,,6,Northern,Northern District
1.11,712.18,4.22,,4591256.7561393,8579.311089257,810,Lathrop Southeast Gas (ABD),392,1111/01/01 00:00:00+00,,,6,Northern,Northern District
8.19,5240.43,13.83,,34132640.7022101,28260.3515232497,811,Lathrop Gas,390,1111/01/01 00:00:00+00,,,6,Northern,Northern District
4.25,2719.79,10.13,,17697075.4171272,20674.1337050559,812,French Camp Gas,254,1111/01/01 00:00:00+00,,,6,Northern,Northern District
6.92,4429,11.36,,28524516.6560061,23085.7050194818,813,Stockton Gas (ABD),719,1986/01/16 00:00:00+00,,1986/01/16 00:00:00+00,6,Northern,Northern District
13.99,8953.56,20.9,,57621650.2360833,42563.655545223,815,Vernalis Gas,816,1111/01/01 00:00:00+00,,,6,Northern,Northern District
0.96,617.28,3.93,,3984716.48863035,7988.86877268857,816,"Vernalis, SW, Gas (ABD)",818,1111/01/01 00:00:00+00,,,6,Northern,Northern District
1.83,1168.69,6.62,,7649017.93718915,13548.0756615366,817,Harte Gas (ABD),294,1111/01/01 00:00:00+00,,,6,Northern,Northern District
8.94,5720.84,11.95,,37304949.7753524,24425.3039727234,818,Brentwood,072,1990/10/04 00:00:00+00,,1990/10/04 00:00:00+00,6,Northern,Northern District
1.52,971.07,5.05,,6174592.55270213,10170.4011351481,819,Bixler Gas (ABD),059,1993/12/21 00:00:00+00,,1993/12/21 00:00:00+00,6,Northern,Northern District
1.11,712.55,4.53,,4626857.96639874,9129.41783388433,820,Knightsen Gas (ABD),359,1111/01/01 00:00:00+00,,,6,Northern,Northern District
1.22,778.71,4.91,,5230807.71563095,10221.3786139872,821,Oakley Gas (ABD),510,1111/01/01 00:00:00+00,,,6,Northern,Northern District
