"Предприятия, организации,""с начала года"",""январь"",""февраль"",""март"",""апрель"",""май"",""июнь"",""июль"",""август"",""сентябрь"",""октябрь"",""ноябрь"",""декабрь"""
" ООО ""РН-Краснодарнефтегаз"",""637,465"",""59,711"",""53,927"",""57,587"",""53,77"",""56,767"",""53,81"",""53,082"",""51,251"",""50,417"",""50,772"",""47,057"",""49,314"""
" АО ""НК ""Конданефть"",""2780,726"",""216,648"",""198,021"",""216,199"",""213,706"",""220,282"",""227,802"",""244,827"",""253,251"",""242,164"",""246,782"",""244,199"",""256,845"""
" ОАО ""ННП"",""3930,321"",""338,647"",""296,54"",""330,585"",""324,531"",""330,369"",""321,957"",""336,177"",""335,485"",""327,191"",""336,119"",""322,03"",""330,69"""
" ООО ""РН-Пурнефтегаз"",""3473,36"",""293,519"",""268,348"",""298,903"",""286,034"",""290,877"",""282,918"",""290,017"",""292,239"",""288,982"",""298,32"",""287,426"",""295,777"""
" АО ""Роспан Интернешнл"",""1374,585"",""123,687"",""109,519"",""118,614"",""112,134"",""114,649"",""112,464"",""113,965"",""91,079"",""120,485"",""120,824"",""116,512"",""120,653"""
" ПАО ""Оренбургнефть"",""14136,516"",""1238,41"",""1115,204"",""1225,928"",""1178,834"",""1145,845"",""1165,771"",""1205,093"",""1196,594"",""1151,311"",""1185,623"",""1145,245"",""1182,658"""
" АО ""Самаранефтегаз"",""12278,725"",""1061,408"",""953,801"",""1029,935"",""971,284"",""928,6"",""1027,707"",""1063,269"",""1063,618"",""1029,447"",""1062,782"",""1026,592"",""1060,282"""
" ОАО ""Самотлорнефтегаз"",""19357,897"",""1642,522"",""1471,019"",""1648,416"",""1597,499"",""1640,305"",""1592,404"",""1638,182"",""1637,548"",""1589,13"",""1649,874"",""1597,452"",""1653,546"""
" ООО ""РН-Северная нефть"",""2653,983"",""244,209"",""214,327"",""237,073"",""210,087"",""232,511"",""226,227"",""234,069"",""226,508"",""212,661"",""212,073"",""198,912"",""205,326"""
" ОАО ""Северо-Варьеганское"",""474,081"",""41,242"",""36,577"",""39,814"",""39,836"",""38,27"",""37,856"",""37,127"",""40,115"",""40,432"",""41,466"",""41,318"",""40,028"""
